Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty
1,1,054.0 056.0,19-4903CR-HY-060-0930-05400560-0000A-3,0,10.5,33.44
1,2,054.0 056.0,19-4903CR-HY-060-0930-05400560-0008A-3,8,10.46,33.44
1,3,054.0 056.0,19-4903CR-HY-060-0930-05400560-0010A-7,10,10.46,33.437
1,4,054.0 056.0,19-4903CR-HY-060-0930-05400560-0019A-3,19,10.45,33.42
1,5,054.0 056.0,19-4903CR-HY-060-0930-05400560-0020A-7,20,10.45,33.421
1,6,054.0 056.0,19-4903CR-HY-060-0930-05400560-0030A-7,30,10.45,33.431
1,7,054.0 056.0,19-4903CR-HY-060-0930-05400560-0039A-3,39,10.45,33.44
1,8,054.0 056.0,19-4903CR-HY-060-0930-05400560-0050A-7,50,10.24,33.424
1,9,054.0 056.0,19-4903CR-HY-060-0930-05400560-0058A-3,58,10.06,33.42
1,10,054.0 056.0,19-4903CR-HY-060-0930-05400560-0075A-7,75,9.86,33.494
1,11,054.0 056.0,19-4903CR-HY-060-0930-05400560-0078A-3,78,9.83,33.51
1,12,054.0 056.0,19-4903CR-HY-060-0930-05400560-0100A-7,100,9.67,33.58
1,13,054.0 056.0,19-4903CR-HY-060-0930-05400560-0117A-3,117,9.5,33.64
1,14,054.0 056.0,19-4903CR-HY-060-0930-05400560-0125A-7,125,9.32,33.689
1,15,054.0 056.0,19-4903CR-HY-060-0930-05400560-0150A-7,150,8.76,33.847
1,16,054.0 056.0,19-4903CR-HY-060-0930-05400560-0152A-3,152,8.71,33.86
1,17,054.0 056.0,19-4903CR-HY-060-0930-05400560-0200A-7,200,8.53,33.876
1,18,054.0 056.0,19-4903CR-HY-060-0930-05400560-0221A-3,221,8.45,33.83
1,19,054.0 056.0,19-4903CR-HY-060-0930-05400560-0250A-7,250,8.26,33.926
1,20,054.0 056.0,19-4903CR-HY-060-0930-05400560-0285A-3,285,7.96,33.98
1,21,054.0 056.0,19-4903CR-HY-060-0930-05400560-0300A-7,300,7.77,33.99
1,22,054.0 056.0,19-4903CR-HY-060-0930-05400560-0373A-3,373,6.8,34.04
1,23,054.0 056.0,19-4903CR-HY-060-0930-05400560-0400A-7,400,6.55,34.056
1,24,054.0 056.0,19-4903CR-HY-060-0930-05400560-0500A-7,500,5.78,34.113
1,25,054.0 056.0,19-4903CR-HY-060-0930-05400560-0598A-3,598,5.3,34.16
1,26,054.0 056.0,19-4903CR-HY-060-0930-05400560-0600A-7,600,5.29,34.161
1,27,054.0 056.0,19-4903CR-HY-060-0930-05400560-0700A-7,700,5.01,34.21
1,28,054.0 056.0,19-4903CR-HY-060-0930-05400560-0800A-7,800,4.72,34.261
1,29,054.0 056.0,19-4903CR-HY-060-0930-05400560-0896A-3,896,4.44,34.31
2,30,052.0 075.0,19-4903CR-HY-060-2112-05200750-0000B-3,0,10.1,32.95
2,31,052.0 075.0,19-4903CR-HY-060-2112-05200750-0010A-3,10,9.89,32.94
2,32,052.0 075.0,19-4903CR-HY-060-2112-05200750-0020A-7,20,9.75,32.939
2,33,052.0 075.0,19-4903CR-HY-060-2112-05200750-0024A-3,24,9.69,32.95
2,34,052.0 075.0,19-4903CR-HY-060-2112-05200750-0030A-7,30,9.52,33.013
2,35,052.0 075.0,19-4903CR-HY-060-2112-05200750-0047A-3,47,9.06,33.24
